MOSCAP CV measurement data file.
Measurement comments:


DC bias (V)	Capacitance (F)	Quality factor

-10,000000	3,272580E-10	13,853100
-9,950000	3,272330E-10	13,850800
-9,900000	3,272010E-10	13,856300
-9,850000	3,271840E-10	13,848700
-9,800000	3,271520E-10	13,845900
-9,750000	3,271230E-10	13,845100
-9,700000	3,271030E-10	13,843000
-9,650000	3,270770E-10	13,841200
-9,600000	3,270590E-10	13,842300
-9,550000	3,270260E-10	13,844700
-9,500000	3,270120E-10	13,852200
-9,450000	3,269920E-10	13,851300
-9,400000	3,269720E-10	13,852600
-9,350000	3,269650E-10	13,858100
-9,300000	3,269460E-10	13,859100
-9,250000	3,269260E-10	13,861600
-9,200000	3,269240E-10	13,863200
-9,150000	3,269000E-10	13,864600
-9,100000	3,268820E-10	13,871900
-9,050000	3,268830E-10	13,875100
-9,000000	3,268610E-10	13,872800
-8,950000	3,268260E-10	13,871700
-8,900000	3,268030E-10	13,872500
-8,850000	3,267850E-10	13,870800
-8,800000	3,267650E-10	13,875000
-8,750000	3,267420E-10	13,867400
-8,700000	3,267100E-10	13,875500
-8,650000	3,266750E-10	13,868500
-8,600000	3,266480E-10	13,861400
-8,550000	3,266080E-10	13,870200
-8,500000	3,265850E-10	13,871200
-8,450000	3,265520E-10	13,863500
-8,400000	3,265270E-10	13,863500
-8,350000	3,264990E-10	13,864800
-8,300000	3,264890E-10	13,873700
-8,250000	3,264680E-10	13,879100
-8,200000	3,264440E-10	13,881400
-8,150000	3,264280E-10	13,888600
-8,100000	3,264140E-10	13,884300
-8,050000	3,263950E-10	13,890800
-8,000000	3,263690E-10	13,889600
-7,950000	3,263410E-10	13,898600
-7,900000	3,263120E-10	13,892700
-7,850000	3,262770E-10	13,895400
-7,800000	3,262570E-10	13,896000
-7,750000	3,262160E-10	13,894900
-7,700000	3,261840E-10	13,893200
-7,650000	3,261500E-10	13,888400
-7,600000	3,261030E-10	13,888500
-7,550000	3,260570E-10	13,888100
-7,500000	3,260310E-10	13,890300
-7,450000	3,259900E-10	13,890100
-7,400000	3,259530E-10	13,888300
-7,350000	3,259190E-10	13,897500
-7,300000	3,258800E-10	13,892500
-7,250000	3,258480E-10	13,899300
-7,200000	3,258180E-10	13,900900
-7,150000	3,257890E-10	13,902200
-7,100000	3,257610E-10	13,906900
-7,050000	3,257270E-10	13,908700
-7,000000	3,257020E-10	13,913600
-6,950000	3,256780E-10	13,917000
-6,900000	3,256330E-10	13,921700
-6,850000	3,255950E-10	13,921200
-6,800000	3,255500E-10	13,918000
-6,750000	3,255180E-10	13,915100
-6,700000	3,254650E-10	13,917200
-6,650000	3,254150E-10	13,919300
-6,600000	3,253700E-10	13,916700
-6,550000	3,253140E-10	13,911200
-6,500000	3,252550E-10	13,914000
-6,450000	3,252180E-10	13,916600
-6,400000	3,251510E-10	13,915000
-6,350000	3,251130E-10	13,920700
-6,300000	3,250550E-10	13,917800
-6,250000	3,250060E-10	13,921900
-6,200000	3,249650E-10	13,931600
-6,150000	3,249280E-10	13,927600
-6,100000	3,248790E-10	13,940100
-6,050000	3,248380E-10	13,935100
-6,000000	3,247860E-10	13,941800
-5,950000	3,247350E-10	13,952000
-5,900000	3,246820E-10	13,946700
-5,850000	3,246390E-10	13,958200
-5,800000	3,245720E-10	13,960400
-5,750000	3,245300E-10	13,950100
-5,700000	3,244490E-10	13,954100
-5,650000	3,243780E-10	13,954000
-5,600000	3,243110E-10	13,952600
-5,550000	3,242470E-10	13,952900
-5,500000	3,241630E-10	13,955600
-5,450000	3,240910E-10	13,950100
-5,400000	3,240050E-10	13,951600
-5,350000	3,239340E-10	13,953600
-5,300000	3,238670E-10	13,957900
-5,250000	3,237860E-10	13,960900
-5,200000	3,237290E-10	13,968000
-5,150000	3,236560E-10	13,974100
-5,100000	3,235700E-10	13,975600
-5,050000	3,235110E-10	13,988700
-5,000000	3,234240E-10	13,982500
-4,950000	3,233580E-10	13,995100
-4,900000	3,232870E-10	14,000700
-4,850000	3,232030E-10	14,001900
-4,800000	3,231120E-10	14,004000
