MOSCAP CV measurement data file.
Measurement comments:

DC bias (V)	Capacitance (F)	Quality factor

-10,000000	3,280070E-10	14,067100
-9,950000	3,279810E-10	14,067200
-9,900000	3,279510E-10	14,057600
-9,850000	3,279160E-10	14,060100
-9,800000	3,279330E-10	14,065900
-9,750000	3,279730E-10	14,062400
-9,700000	3,279520E-10	14,064200
-9,650000	3,279430E-10	14,074000
-9,600000	3,279210E-10	14,073900
-9,550000	3,279060E-10	14,074600
-9,500000	3,279010E-10	14,081600
-9,450000	3,278870E-10	14,077700
-9,400000	3,278890E-10	14,082500
-9,350000	3,278470E-10	14,083300
-9,300000	3,278330E-10	14,071200
-9,250000	3,277820E-10	14,079700
-9,200000	3,277560E-10	14,070400
-9,150000	3,277230E-10	14,067800
-9,100000	3,276960E-10	14,066300
-9,050000	3,276640E-10	14,063100
-9,000000	3,276400E-10	14,057200
-8,950000	3,276090E-10	14,054500
-8,900000	3,275800E-10	14,057800
-8,850000	3,275520E-10	14,056400
-8,800000	3,275550E-10	14,072800
-8,750000	3,274490E-10	14,066200
-8,700000	3,273680E-10	14,065800
-8,650000	3,273630E-10	14,080100
-8,600000	3,273380E-10	14,076200
-8,550000	3,273240E-10	14,073400
-8,500000	3,273120E-10	14,076400
-8,450000	3,272980E-10	14,086300
-8,400000	3,272920E-10	14,091100
-8,350000	3,272570E-10	14,074300
-8,300000	3,272060E-10	14,072900
-8,250000	3,271790E-10	14,068500
-8,200000	3,271470E-10	14,070800
-8,150000	3,271150E-10	14,062300
-8,100000	3,270780E-10	14,064200
-8,050000	3,270420E-10	14,068900
-8,000000	3,270210E-10	14,064800
-7,950000	3,269960E-10	14,072200
-7,900000	3,269650E-10	14,075600
-7,850000	3,269420E-10	14,083500
-7,800000	3,269210E-10	14,089400
-7,750000	3,269030E-10	14,089600
-7,700000	3,268760E-10	14,099300
-7,650000	3,268680E-10	14,098500
-7,600000	3,268470E-10	14,100700
-7,550000	3,268150E-10	14,104300
-7,500000	3,267930E-10	14,102600
-7,450000	3,267660E-10	14,111800
-7,400000	3,267210E-10	14,113600
-7,350000	3,266530E-10	14,101200
-7,300000	3,266060E-10	14,095700
-7,250000	3,265740E-10	14,089500
-7,200000	3,265440E-10	14,094500
-7,150000	3,265040E-10	14,095900
