Diode IV  measurement data file.
Measurement comments:

Voltage (V)	Current (A)

-1,000000	-7,785300E-10
-0,980000	-7,772400E-10
-0,960000	-7,770300E-10
-0,940000	-7,787700E-10
-0,920000	-7,768800E-10
-0,900000	-7,752900E-10
-0,880000	-7,777900E-10
-0,860000	-7,831800E-10
-0,840000	-7,731800E-10
-0,820000	-7,791700E-10
-0,800000	-7,813300E-10
-0,780000	-7,793600E-10
-0,760000	-7,772100E-10
-0,740000	-7,786500E-10
-0,720000	-7,776000E-10
-0,700000	-7,760800E-10
-0,680000	-7,763200E-10
-0,660000	-7,769500E-10
-0,640000	-7,774000E-10
-0,620000	-7,766500E-10
-0,600000	-7,766900E-10
-0,580000	-7,775200E-10
-0,560000	-7,773100E-10
-0,540000	-7,761900E-10
-0,520000	-7,774800E-10
-0,500000	-7,780000E-10
-0,480000	-7,779800E-10
-0,460000	-7,770300E-10
-0,440000	-7,768700E-10
-0,420000	-7,777000E-10
-0,400000	-7,783800E-10
-0,380000	-7,780100E-10
-0,360000	-7,783600E-10
-0,340000	-7,798200E-10
-0,320000	-7,790600E-10
-0,300000	-7,789900E-10
-0,280000	-7,788400E-10
-0,260000	-7,792600E-10
-0,240000	-7,779100E-10
-0,220000	-7,778900E-10
-0,200000	-7,785600E-10
-0,180000	-7,783900E-10
-0,160000	-7,777200E-10
-0,140000	-7,771000E-10
-0,120000	-7,768400E-10
-0,100000	-7,764200E-10
-0,080000	-7,748400E-10
-0,060000	-7,761000E-10
-0,040000	-7,753900E-10
-0,020000	-7,742000E-10
0,000000	-7,715400E-10
0,020000	-7,707200E-10
0,040000	-7,678800E-10
0,060000	-7,607100E-10
0,080000	-7,514700E-10
0,100000	-7,359800E-10
0,120000	-7,066900E-10
0,140000	-6,498800E-10
0,160000	-5,397800E-10
0,180000	-3,248900E-10
0,200000	1,038100E-10
0,220000	9,598200E-10
0,240000	2,682060E-9
0,260000	6,142170E-9
0,280000	1,308320E-8
0,300000	2,698790E-8
0,320000	5,455800E-8
0,340000	1,088968E-7
0,360000	2,150820E-7
0,380000	4,213340E-7
0,400000	8,190010E-7
0,420000	1,579070E-6
0,440000	3,024450E-6
0,460000	5,751110E-6
0,480000	1,083388E-5
0,500000	2,011560E-5
0,520000	3,669720E-5
0,540000	6,561190E-5
0,560000	0,000116
0,580000	0,000202
0,600000	0,000353
0,620000	0,000615
0,640000	0,001063
0,660000	0,001795
0,680000	0,002906
0,700000	0,004448
0,720000	0,006403
0,740000	0,008723
0,760000	0,011331
0,780000	0,014182
0,800000	0,017209
0,820000	0,020375
0,840000	0,023654
0,860000	0,027023
0,880000	0,030465
0,900000	0,033981
0,920000	0,037532
0,940000	0,041123
0,960000	0,044746
0,980000	0,048401
1,000000	0,052079
