Diode IV  measurement data file.
Measurement comments:

Voltage (V)	Current (A)

-1,000000	-7,635290E-8
-0,980000	-7,643790E-8
-0,960000	-7,644820E-8
-0,940000	-7,654750E-8
-0,920000	-7,660800E-8
-0,900000	-7,664820E-8
-0,880000	-7,657650E-8
-0,860000	-7,667980E-8
-0,840000	-7,667820E-8
-0,820000	-7,666900E-8
-0,800000	-7,671700E-8
-0,780000	-7,675540E-8
-0,760000	-7,683290E-8
-0,740000	-7,686130E-8
-0,720000	-7,694660E-8
-0,700000	-7,703730E-8
-0,680000	-7,706840E-8
-0,660000	-7,709700E-8
-0,640000	-7,714420E-8
-0,620000	-7,714810E-8
-0,600000	-7,717110E-8
-0,580000	-7,721660E-8
-0,560000	-7,714070E-8
-0,540000	-7,721730E-8
-0,520000	-7,724200E-8
-0,500000	-7,721160E-8
-0,480000	-7,727580E-8
-0,460000	-7,728720E-8
-0,440000	-7,733760E-8
-0,420000	-7,732880E-8
-0,400000	-7,731120E-8
-0,380000	-7,736060E-8
-0,360000	-7,725880E-8
-0,340000	-7,732670E-8
-0,320000	-7,728080E-8
-0,300000	-7,731750E-8
-0,280000	-7,724800E-8
-0,260000	-7,725150E-8
-0,240000	-7,716500E-8
-0,220000	-7,719750E-8
-0,200000	-7,706570E-8
-0,180000	-7,703660E-8
-0,160000	-7,705600E-8
-0,140000	-7,699410E-8
-0,120000	-7,684560E-8
-0,100000	-7,678150E-8
-0,080000	-7,672250E-8
-0,060000	-7,658500E-8
-0,040000	-7,644730E-8
-0,020000	-7,632130E-8
0,000000	-7,623760E-8
0,020000	-7,611190E-8
0,040000	-7,590160E-8
0,060000	-7,573410E-8
0,080000	-7,557620E-8
0,100000	-7,542150E-8
0,120000	-7,526100E-8
0,140000	-7,515830E-8
0,160000	-7,491150E-8
0,180000	-7,455230E-8
0,200000	-7,393930E-8
0,220000	-7,297140E-8
0,240000	-7,111940E-8
0,260000	-6,756590E-8
0,280000	-6,065730E-8
0,300000	-4,675730E-8
0,320000	-1,925130E-8
0,340000	3,496990E-8
0,360000	1,411400E-7
0,380000	3,474640E-7
0,400000	7,449790E-7
0,420000	1,506040E-6
0,440000	2,953790E-6
0,460000	5,687490E-6
0,480000	1,077457E-5
0,500000	2,005530E-5
0,520000	3,668790E-5
0,540000	6,560010E-5
0,560000	0,000116
0,580000	0,000202
0,600000	0,000353
0,620000	0,000615
0,640000	0,001064
0,660000	0,001797
0,680000	0,002910
0,700000	0,004453
0,720000	0,006414
0,740000	0,008739
0,760000	0,011356
0,780000	0,014213
0,800000	0,017249
0,820000	0,020426
0,840000	0,023716
0,860000	0,027095
0,880000	0,030544
0,900000	0,034072
0,920000	0,037628
0,940000	0,041235
0,960000	0,044876
0,980000	0,048547
1,000000	0,052238
