Diode IV  measurement data file.
Measurement comments:

Voltage (V)	Current (A)

-1,000000	-7,464690E-7
-0,980000	-7,365350E-7
-0,960000	-7,278640E-7
-0,940000	-7,197010E-7
-0,920000	-7,108180E-7
-0,900000	-7,020570E-7
-0,880000	-6,930590E-7
-0,860000	-6,843390E-7
-0,840000	-6,765900E-7
-0,820000	-6,669170E-7
-0,800000	-6,579360E-7
-0,780000	-6,497200E-7
-0,760000	-6,420220E-7
-0,740000	-6,337350E-7
-0,720000	-6,251470E-7
-0,700000	-6,176980E-7
-0,680000	-6,085170E-7
-0,660000	-6,010020E-7
-0,640000	-5,925110E-7
-0,620000	-5,838450E-7
-0,600000	-5,756210E-7
-0,580000	-5,684140E-7
-0,560000	-5,607060E-7
-0,540000	-5,522510E-7
-0,520000	-5,441330E-7
-0,500000	-5,359450E-7
-0,480000	-5,277330E-7
-0,460000	-5,188400E-7
-0,440000	-5,101740E-7
-0,420000	-5,017360E-7
-0,400000	-4,937310E-7
-0,380000	-4,854890E-7
-0,360000	-4,768790E-7
-0,340000	-4,679450E-7
-0,320000	-4,597520E-7
-0,300000	-4,512130E-7
-0,280000	-4,419220E-7
-0,260000	-4,324730E-7
-0,240000	-4,236120E-7
-0,220000	-4,147930E-7
-0,200000	-4,057270E-7
-0,180000	-3,960660E-7
-0,160000	-3,859180E-7
-0,140000	-3,752340E-7
-0,120000	-3,634460E-7
-0,100000	-3,490970E-7
-0,080000	-3,299470E-7
-0,060000	-3,019040E-7
-0,040000	-2,549050E-7
-0,020000	-1,685060E-7
0,000000	-2,247800E-10
0,020000	3,387610E-7
0,040000	1,034231E-6
0,060000	2,475200E-6
0,080000	5,481740E-6
0,100000	1,177960E-5
0,120000	2,501140E-5
0,140000	5,300020E-5
0,160000	0,000111
0,180000	0,000230
0,200000	0,000466
0,220000	0,000902
0,240000	0,001634
0,260000	0,002744
0,280000	0,004250
0,300000	0,006112
0,320000	0,008280
0,340000	0,010707
0,360000	0,013355
0,380000	0,016110
0,400000	0,018976
0,420000	0,021882
0,440000	0,025029
0,460000	0,028149
0,480000	0,031303
0,500000	0,034496
0,520000	0,037719
0,540000	0,040972
0,560000	0,044256
0,580000	0,047561
0,600000	0,050856
0,620000	0,054245
0,640000	0,057700
0,660000	0,061130
0,680000	0,064614
0,700000	0,068148
0,720000	0,071761
0,740000	0,075440
0,760000	0,079184
0,780000	0,082998
0,800000	0,086838
0,820000	0,090743
0,840000	0,094741
0,860000	0,098895
0,880000	0,100008
NaN	NaN
NaN	NaN
NaN	NaN
NaN	NaN
NaN	NaN
NaN	NaN
