Diode IV  measurement data file.
Measurement comments:

Voltage (V)	Current (A)

-1,000000	-6,732990E-7
-0,980000	-6,659830E-7
-0,960000	-6,590130E-7
-0,940000	-6,516400E-7
-0,920000	-6,445630E-7
-0,900000	-6,367830E-7
-0,880000	-6,298720E-7
-0,860000	-6,232910E-7
-0,840000	-6,161330E-7
-0,820000	-6,091770E-7
-0,800000	-6,022920E-7
-0,780000	-5,951420E-7
-0,760000	-5,880040E-7
-0,740000	-5,808580E-7
-0,720000	-5,732160E-7
-0,700000	-5,665220E-7
-0,680000	-5,601210E-7
-0,660000	-5,530460E-7
-0,640000	-5,459770E-7
-0,620000	-5,388240E-7
-0,600000	-5,319310E-7
-0,580000	-5,249200E-7
-0,560000	-5,177940E-7
-0,540000	-5,105260E-7
-0,520000	-5,034270E-7
-0,500000	-4,965560E-7
-0,480000	-4,895030E-7
-0,460000	-4,823720E-7
-0,440000	-4,753630E-7
-0,420000	-4,679650E-7
-0,400000	-4,608920E-7
-0,380000	-4,535040E-7
-0,360000	-4,462210E-7
-0,340000	-4,388240E-7
-0,320000	-4,314820E-7
-0,300000	-4,239720E-7
-0,280000	-4,163520E-7
-0,260000	-4,088350E-7
-0,240000	-4,010980E-7
-0,220000	-3,934050E-7
-0,200000	-3,852220E-7
-0,180000	-3,769050E-7
-0,160000	-3,685030E-7
-0,140000	-3,595540E-7
-0,120000	-3,494250E-7
-0,100000	-3,372120E-7
-0,080000	-3,208150E-7
-0,060000	-2,954410E-7
-0,040000	-2,517860E-7
-0,020000	-1,695750E-7
0,000000	-5,448960E-9
0,020000	3,256650E-7
0,040000	1,012441E-6
0,060000	2,443290E-6
0,080000	5,432880E-6
0,100000	1,171830E-5
0,120000	2,492490E-5
0,140000	5,283430E-5
0,160000	0,000111
0,180000	0,000230
0,200000	0,000465
0,220000	0,000900
0,240000	0,001635
0,260000	0,002739
0,280000	0,004233
0,300000	0,006077
0,320000	0,008213
0,340000	0,010578
0,360000	0,013129
0,380000	0,015823
0,400000	0,018632
0,420000	0,021529
0,440000	0,024506
0,460000	0,027542
0,480000	0,030630
0,500000	0,033760
0,520000	0,036939
0,540000	0,040142
0,560000	0,043373
0,580000	0,046632
0,600000	0,049911
0,620000	0,053215
0,640000	0,056538
0,660000	0,059892
0,680000	0,063269
0,700000	0,066678
0,720000	0,070117
0,740000	0,073590
0,760000	0,077105
0,780000	0,080666
0,800000	0,084274
0,820000	0,087949
0,840000	0,091684
0,860000	0,095477
0,880000	0,099327
0,900000	0,100009
